unit,cycle,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,1,20.0074,0.7,100.0,491.19,607.65,1481.73,1254.03,9.35,13.66,334.02,2324.06,8724.38,1.08,44.62,314.57,2388.15,8061.8,9.1913,0.02,364,2324,100.0,24.45,14.6789
1,2,42.0007,0.84,100.0,445.0,550.16,1357.31,1129.9,3.91,5.72,138.27,2211.8,8325.72,1.02,42.16,130.48,2387.96,8083.77,9.3801,0.02,330,2212,100.0,10.59,6.3088
1,3,10.0003,0.25,100.0,489.05,605.17,1502.19,1310.11,10.52,15.49,394.99,2318.93,8782.65,1.26,45.46,371.67,2388.15,8134.38,8.6717,0.03,369,2319,100.0,28.62,17.0652
1,4,42.0071,0.8417,100.0,445.0,549.52,1353.78,1131.37,3.91,5.72,138.48,2211.9,8328.26,1.02,42.07,130.51,2387.89,8089.7,9.3632,0.02,332,2212,100.0,10.48,6.3091
1,5,34.9988,0.84,100.0,449.44,555.99,1370.61,1131.16,5.48,8.0,194.47,2222.95,8355.79,1.02,41.99,183.14,2388.01,8065.49,9.3261,0.02,332,2223,100.0,14.88,8.9843
1,6,35.0011,0.8411,100.0,449.44,556.26,1370.64,1129.16,5.48,8.0,194.8,2223.0,8356.09,1.02,42.04,182.42,2388.09,8073.35,9.3473,0.02,334,2223,100.0,14.78,8.8243
1,7,0.0004,0.0,100.0,518.67,642.66,1588.18,1409.0,14.62,21.61,552.54,2388.12,9060.42,1.3,47.52,521.22,2388.17,8136.69,8.4413,0.03,393,2388,100.0,38.68,23.2108
1,8,42.0063,0.8403,100.0,445.0,550.0,1351.53,1129.65,3.91,5.72,138.33,2211.86,8319.55,1.02,42.07,130.25,2387.92,8086.01,9.4088,0.02,332,2212,100.0,10.57,6.3753
1,9,25.0055,0.62,60.0,462.54,536.0,1262.03,1048.27,7.05,9.03,175.86,1915.32,8012.33,0.94,36.88,164.72,2028.23,7876.05,10.9536,0.02,308,1915,84.93,14.23,8.5677
1,10,42.006,0.8403,100.0,445.0,549.92,1354.65,1128.45,3.91,5.72,137.84,2211.89,8324.71,1.02,42.21,130.76,2387.91,8092.15,9.4166,0.02,331,2212,100.0,10.64,6.3507
