ExportDate;EquipmentID;Cycle;Timestamp;Sensor_2;Sensor_3;Sensor_4;Sensor_7;Sensor_8;Sensor_9;Sensor_11;Sensor_12;Sensor_13;Sensor_14;Sensor_15;Sensor_17;LatentZ1;LatentZ2;NearestDistance;PredictedStatus;WorkOrder;MaintenanceCost
2026-07-02;ENG-099;96;2026-01-05 00:00:00;642.3300;1583.3900;1403.3200;554.0400;2387.9800;9070.7400;47.1500;522.0800;2388.0100;8150.5300;8.4022;390.0000;0.045993;-1.122603;0.001761;HEALTHY;WO737086;1,342.61
2026/07/02;  ENG-048 ;77;2026-01-04 05:00:00;642.5400;1590.8900;1401.1200;553.6600;2388.0900;9061.1900;47.4100;521.6000;2388.1200;8136.6100;8.4311;392.0000;0.049558;-0.224154;0.000709;Healthy;WO575682;1141.66
02-Jul-2026;ENG-007;159;2026-01-07 15:00:00;642.4900;1587.0500;1407.9800;554.3200;2388.0200;9071.6900;47.4300;522.3400;2388.0300;8148.4500;8.4450;393.0000;0.076034;-0.451515;0.000930;Healthy;WO659543;984.15
2026/07/02;eng-059;93;2026-01-04 21:00:00;642.4200;1585.8400;1403.0000;554.2200;2388.0800;9059.2700;47.3900;521.9100;2388.0600;8138.2200;8.4105;392.0000;0.030301;-0.607992;0.002555;Healthy;WO731661;2,289.50
2026/07/02;ENG-001;30;2026-01-02 06:00:00;642.7900;1585.7200;1400.9700;554.1000;2388.0900;9047.4500;47.4000;521.7800;2388.1000;8134.7900;8.4110;391.0000;0.007987;-0.714070;0.002184;Healthy;WO791998;488.36
2026/07/02;eng-011;82;2026-01-04 10:00:00;643.2900;1601.3900;1408.1400;553.7700;2388.2200;9032.0900;47.6100;520.9500;2388.1200;8116.5400;8.4364;394.0000;-0.079943;0.414773;0.008410;Warning;WO749813;12843.55
2026-07-02;ENG-087;55;2026-01-03 07:00:00;641.9400;1587.9400;1398.4300;554.1300;2388.0400;9061.1000;47.2400;522.6400;2388.0800;8139.1900;8.4168;392.0000;0.025993;-1.007806;0.001582;Healthy;WO631971;1,547.49
2026-07-02;ENG-075;87;2026-01-04 15:00:00;641.7500;1585.7900;1396.1800;552.9800;2388.0500;9058.4400;47.4900;522.2300;2388.0600;8136.1800;8.4023;393.0000;0.034273;-0.769658;0.002858;Healthy;WO530816;2172.78
02-Jul-2026;ENG-055;112;2026-01-05 16:00:00;642.6300;1583.0400;1402.3000;553.9600;2388.0500;9064.5200;47.5000;522.5800;2388.1100;8142.0500;8.4096;393.0000;0.046981;-0.637264;0.001465;Healthy;WO537983;1244.85
02-Jul-2026;ENG-090;145;2026-01-07 01:00:00;643.3000;1600.1500;1423.5800;552.0400;2388.1500;9083.4400;48.0600;520.0000;2388.1600;8156.4000;8.4649;394.0000;-0.068451;1.310866;0.024575;Warning;WO916990;24535.82
2026/07/02;ENG-046;145;2026-01-07 01:00:00;643.5800;1596.8000;1413.2400;552.9800;2388.1200;9086.3800;47.7200;521.0400;2388.1600;8160.1000;8.4804;395.0000;0.176596;0.819002;0.003010;Warning;WO130359;17,805.31
2026-07-02;ENG-029;170;2026-01-08 02:00:00;642.8500;1584.7100;1406.7500;554.5600;2388.0200;9069.1800;47.4200;521.0800;2388.1000;8146.5100;8.4390;393.0000;0.043542;-0.406885;0.000880;healthy;WO389282;410.37
2026-07-02;ENG-070;151;2026-01-07 07:00:00;642.8700;1593.4000;1407.4700;553.4400;2388.1000;9057.0500;47.6100;521.4000;2388.1800;8141.6900;8.4661;393.0000;0.033348;0.300656;0.001483;Healthy;WO424620;1,948.31
02-Jul-2026;eng-003;125;2026-01-06 05:00:00;643.2400;1588.6400;1412.6000;553.1000;2388.1900;9048.1200;47.6200;520.1300;2388.2100;8128.0200;8.4608;394.0000;-0.159553;0.731986;0.013770;warning;WO880879;22,905.01
2026/07/02;ENG-089;176;2026-01-08 08:00:00;642.4900;1589.8700;1411.8300;553.4000;2388.0900;9052.7200;47.3500;521.3700;2388.1400;8134.5600;8.4463;394.0000;0.029776;0.070513;0.001597;Healthy;WO908977;2,282.20
2026/07/02;  ENG-092 ;149;2026-01-07 05:00:00;643.0700;1600.3500;1423.3400;551.9500;2388.2200;9050.5300;47.9500;519.7400;2388.2500;8127.2900;8.5115;396.0000;-0.592534;1.430662;0.015633;warning;WO425138;24736.77
02-Jul-2026;ENG-052;188;2026-01-08 20:00:00;642.5800;1591.0500;1408.0600;553.6200;2388.0800;9111.8700;47.7100;521.6500;2388.0400;8187.1500;8.4412;395.0000;0.386221;0.190786;0.034917;Warning;WO321494;19,292.69
2026-07-02;ENG-082;161;2026-01-07 17:00:00;643.1600;1592.7900;1423.6700;552.2900;2388.1800;9050.2600;48.2000;520.0900;2388.2400;8127.7700;8.5125;396.0000;-0.513928;1.348487;0.014042;WARNING;WO400814;12233.41
02-Jul-2026;ENG-014;45;2026-01-02 21:00:00;642.8600;1595.2100;1412.5200;553.2000;2388.1600;9034.5200;47.5100;521.1700;2388.1500;8117.6800;8.4468;392.0000;-0.049799;0.255596;0.001691;Healthy;WO606680;1,175.02
2026-07-02;ENG-044;53;2026-01-03 05:00:00;642.2700;1594.6600;1403.2900;554.3400;2388.0900;9059.3800;47.2800;521.8000;2388.0500;8135.1400;8.4827;392.0000;0.042741;-0.407575;0.000669;Healthy;WO988432;2,543.85
2026-07-02;ENG-043;171;2026-01-08 03:00:00;642.9300;1588.6600;1407.7800;553.4200;2388.1000;9054.3600;47.6400;521.5100;2388.1500;8133.8300;8.4709;395.0000;0.010718;0.334620;0.000150;Warning;WO153945;15,329.92
