ExportDate;EquipmentID;Cycle;Timestamp;Sensor_2;Sensor_3;Sensor_4;Sensor_7;Sensor_8;Sensor_9;Sensor_11;Sensor_12;Sensor_13;Sensor_14;Sensor_15;Sensor_17;LatentZ1;LatentZ2;NearestDistance;PredictedStatus;WorkOrder;MaintenanceCost
01-Jul-2026;ENG-099;95;2026-01-04 23:00:00;642.8000;1581.6300;1397.1400;553.6800;2387.9900;9072.6200;47.1600;521.4300;2388.0600;8148.2000;8.3801;391.0000;0.042722;-0.894134;0.003220;Healthy;WO560485;2081.60
01-Jul-2026;ENG-022;37;2026-01-02 13:00:00;642.5400;1590.9400;1411.5300;553.1100;2388.0600;9047.6900;47.6400;522.0200;2388.1100;8126.2300;8.4024;393.0000;0.050386;-0.142926;0.001018;Healthy;WO167136;1,785.51
01-Jul-2026;ENG-066;145;2026-01-07 01:00:00;643.9300;1591.0000;1426.8100;552.7100;2388.1900;9126.2300;47.8200;520.7200;2388.1000;8195.6800;8.4565;396.0000;0.773648;1.436923;0.013514;Warning;WO120480;19,327.39
01-Jul-2026;ENG-069;52;2026-01-03 04:00:00;641.5700;1593.9200;1405.6600;552.9700;2388.0600;9045.5800;47.4400;521.8200;2388.1300;8130.9900;8.4443;392.0000;0.049292;-0.194364;0.001834;Healthy;WO981334;426.50
2026-07-01;ENG-093;242;2026-01-11 02:00:00;643.0600;1592.5100;1418.3200;552.8700;2388.1100;9081.4400;47.7500;520.7700;2388.1700;8155.4600;8.5153;394.0000;0.165802;0.950250;0.015356;Warning;WO336650;10005.15
2026-07-01;  ENG-038 ;123;2026-01-06 03:00:00;642.7000;1593.1800;1417.8600;552.4600;2388.1200;9082.0600;47.9700;520.9200;2388.0500;8159.0700;8.4920;393.0000;0.200023;0.799267;0.006717;Warning;WO795613;22,050.67
2026-07-01;ENG-062;230;2026-01-10 14:00:00;642.3800;1595.3700;1416.2100;553.7200;2388.1000;9096.7700;47.4300;521.1600;2388.0700;8164.4300;8.4476;393.0000;0.189613;0.220980;0.017440;Warning;WO674485;4651.62
01-Jul-2026;eng-089;175;2026-01-08 07:00:00;643.0100;1592.4300;1410.2600;553.7000;2388.0800;9055.9100;47.5100;521.2400;2388.1400;8133.8200;8.4156;392.0000;0.037991;0.068439;0.001763;healthy;WO660081;184.27
2026/07/01;ENG-050;72;2026-01-04 00:00:00;642.5800;1582.8100;1402.1100;554.0300;2388.0400;9059.5600;47.7000;521.6500;2388.0400;8147.3800;8.4488;391.0000;0.061022;-0.458418;0.001315;healthy;WO725550;2,199.21
01-Jul-2026;ENG-007;158;2026-01-07 14:00:00;642.6000;1583.2600;1412.2800;554.4000;2388.0600;9076.7400;47.3700;522.5100;2388.0500;8144.3200;8.4352;393.0000;0.056553;-0.626719;0.001891;Healthy;WO498591;1,925.27
