ExportDate;EquipmentID;Cycle;Timestamp;Sensor_2;Sensor_3;Sensor_4;Sensor_7;Sensor_8;Sensor_9;Sensor_11;Sensor_12;Sensor_13;Sensor_14;Sensor_15;Sensor_17;LatentZ1;LatentZ2;NearestDistance;PredictedStatus;WorkOrder;MaintenanceCost
03-Jul-2026;  ENG-096 ;67;2026-01-03 19:00:00;642.3200;1582.2500;1403.5700;554.7600;2388.0400;9059.7900;47.4200;523.1800;2388.0000;8147.1400;8.4001;392.0000;0.065304;-1.132915;0.001505;healthy;WO276911;1,816.41
03-Jul-2026;ENG-078;66;2026-01-03 18:00:00;642.2500;1588.4900;1396.8400;554.4300;2387.9700;9069.9100;46.9800;522.0600;2387.9300;8147.3900;8.4066;392.0000;0.058817;-1.167191;0.001544;Healthy;WO753756;
2026/07/03;ENG-051;130;2026-01-06 10:00:00;642.5900;1587.7700;1408.1400;553.3400;2388.1300;9053.3900;47.6600;521.4100;2388.1500;8133.0200;8.4313;393.0000;0.024491;0.057257;0.001419;Healthy;WO959739;1223.01
2026-07-03;ENG-030;124;2026-01-06 04:00:00;643.1300;1596.2200;1415.8200;553.3400;2388.1000;9047.1500;47.4800;521.5800;2388.1500;8130.1900;8.4534;394.0000;0.000934;0.300097;0.000946;Healthy;WO636531;982.83
03-Jul-2026;ENG-063;118;2026-01-05 22:00:00;642.4700;1582.7200;1410.3200;553.1100;2388.1100;9048.1200;47.6800;521.4500;2388.1100;8128.9900;8.4489;394.0000;0.004863;0.095623;0.002014;Warning;WO483781;10027.63
03-Jul-2026;ENG-049;292;2026-01-13 04:00:00;643.5600;1603.7100;1416.2900;551.5800;2388.2400;9049.5500;47.7500;520.7100;2388.1900;8131.0000;8.4517;392.0000;-0.204367;0.953684;0.002740;Warning;WO236009;21248.21
2026/07/03;ENG-098;102;2026-01-05 06:00:00;642.4100;1594.9900;1409.5400;553.2900;2388.1200;9053.8900;47.5800;521.3400;2388.1100;8140.6300;8.4194;391.0000;0.061884;-0.099580;0.001634;Healthy;WO947204;1060.15
2026-07-03;  ENG-077 ;119;2026-01-05 23:00:00;642.5900;1582.2700;1405.8500;553.6400;2388.1300;9056.3000;47.7200;521.2600;2388.0800;8127.4400;8.4804;393.0000;0.013561;0.037156;0.003327;Healthy;WO717198;2,710.32
2026/07/03;eng-027;111;2026-01-05 15:00:00;642.8200;1590.9200;1403.4800;554.5000;2388.0700;9044.6700;47.5000;522.1800;2388.0400;8129.1200;8.4264;391.0000;0.023391;-0.607547;0.001269;Healthy;WO933292;1632.58
03-Jul-2026;ENG-011;69;2026-01-03 21:00:00;642.9700;1589.7700;1407.4100;552.8400;2388.1400;9045.3400;47.7800;521.2800;2388.2100;8122.9900;8.4312;392.0000;-0.019055;0.209892;0.002268;Healthy;WO455356;
2026-07-03;ENG-044;46;2026-01-02 22:00:00;642.5300;1589.1900;1407.6400;553.0800;2388.0700;9054.3000;47.4300;522.1100;2388.1000;8133.9700;8.3890;395.0000;0.056113;-0.156148;0.001243;HEALTHY;WO718665;2,256.34
2026-07-03;  ENG-097 ;97;2026-01-05 01:00:00;642.8700;1588.2400;1403.5300;553.7600;2388.0000;9071.4600;47.4500;521.9500;2388.0000;8148.8200;8.4170;392.0000;0.069450;-0.578595;0.003474;Healthy;WO444519;2,509.36
2026/07/03;  ENG-027 ;102;2026-01-05 06:00:00;642.0200;1584.5300;1398.0900;554.6700;2388.0700;9053.9300;47.2600;521.8100;2388.0600;8128.7900;8.3973;392.0000;-0.008501;-0.859996;0.003000;Healthy;WO265284;373.78
03-Jul-2026;ENG-041;86;2026-01-04 14:00:00;641.9300;1587.3700;1406.9100;554.0000;2388.0400;9038.6700;47.3600;521.7900;2388.0900;8126.6300;8.4405;392.0000;0.013956;-0.520624;0.004165;healthy;WO676149;2713.02
